Well_id,BOREHOLE-DEPTH.M,CALI_COMP.INCHES,GR_COMP.GAPI,NPHI_COMP.V/V,RHOB_COMP.G/C3,RT_COMP.OHMM,SP_COMP.MV,TVDSS_COMP.M,TVD_COMP.M
Gabo-13,1962.3024,15.4196,42.3245,0.259616,2.1408,11.1252,16.6254,1948.2759,1962.0759
Gabo-13,1962.4548,15.4309,45.1083,0.253452,2.1363,11.0296,16.483,1948.4283,1962.2283
Gabo-13,1962.6072,15.4356,48.167,0.250561,2.1315,10.9107,16.4613,1948.5806,1962.3806
Gabo-13,1962.7596,15.4354,52.2288,0.258131,2.1261,10.7716,16.5776,1948.733,1962.533
Gabo-13,1962.912,15.4322,54.2622,0.278752,2.1249,10.6184,16.6744,1948.8854,1962.6854
Gabo-13,1963.0644,15.4303,54.4924,0.29195,2.1291,10.457,16.7255,1949.0377,1962.8377
Gabo-13,1963.2168,15.43,53.5166,0.29591,2.1337,10.2939,16.8467,1949.1901,1962.9901
Gabo-13,1963.3692,15.4296,51.5572,0.301465,2.1327,10.1392,17.0596,1949.3424,1963.1424
Gabo-13,1963.5216,15.4233,50.5144,0.303846,2.1242,10.0083,17.1929,1949.4948,1963.2948
Gabo-13,1963.674,15.3817,52.2476,0.30159,2.1134,9.9118,17.2469,1949.6471,1963.4471
Gabo-13,1963.8264,15.3317,54.3803,0.303514,2.1061,9.8407,17.291,1949.7995,1963.5995
Gabo-13,1963.9788,15.3,54.8042,0.313522,2.1048,9.7808,17.3076,1949.9519,1963.7519
Gabo-13,1964.1312,15.2665,54.4826,0.321975,2.1076,9.7274,17.2496,1950.1042,1963.9042
Gabo-13,1964.2836,15.2504,53.0512,0.319077,2.1088,9.6839,17.2356,1950.2566,1964.0566
Gabo-13,1964.436,15.2482,50.6144,0.309026,2.1057,9.6598,17.3966,1950.4089,1964.2089
Gabo-13,1964.5884,15.2485,48.32,0.302485,2.099,9.6641,17.6537,1950.5613,1964.3613
Gabo-13,1964.7408,15.2437,49.1374,0.307449,2.0927,9.6979,17.7244,1950.7136,1964.5136
Gabo-13,1964.8932,15.2397,50.4663,0.319713,2.0937,9.7477,17.521,1950.866,1964.666
Gabo-13,1965.0456,15.2373,50.1991,0.329956,2.1,9.8095,17.314,1951.0184,1964.8184
Gabo-13,1965.198,15.2376,48.5841,0.32591,2.1057,9.8817,17.2083,1951.1707,1964.9707
Gabo-13,1965.3504,15.2463,46.9879,0.303681,2.1067,9.961,17.0853,1951.3231,1965.1231
Gabo-13,1965.5028,15.2498,44.629,0.290939,2.1005,10.0557,16.9809,1951.4754,1965.2754
Gabo-13,1965.6552,15.2447,43.0196,0.298936,2.0933,10.1705,16.9322,1951.6278,1965.4278
Gabo-13,1965.8076,15.2281,42.2383,0.309691,2.0909,10.2998,16.9021,1951.7802,1965.5802
Gabo-13,1965.96,15.1936,41.1331,0.302707,2.0951,10.4281,16.848,1951.9325,1965.7325
Gabo-13,1966.1124,15.0506,39.3554,0.281965,2.1027,10.5245,16.7477,1952.0849,1965.8849
Gabo-13,1966.2648,14.9331,38.5026,0.264378,2.109,10.5698,16.6078,1952.2372,1966.0372
Gabo-13,1966.4172,14.882,39.2955,0.256206,2.1139,10.5612,16.5302,1952.3896,1966.1896
Gabo-13,1966.5696,14.8689,41.5582,0.259319,2.1193,10.4966,16.5153,1952.542,1966.342
