depth_m,gamma_ray_api,NP,PHIE,density_gcc,resistivity_ohmm,micro_resistivity_ohmm,SWE,VCL,FACIES,SW_RBB,PERM_ARI_5NN,PERM_GEO_5NN,PHIT,NTG_15_35,LOGPERM_ARI,LOGPERM_GEO,caliper_in
1895.0941,55.148399353,0.2731109858,0.2826380134,2.1317000389,0.904399991,0.9395999908,1.0,0.0798000023,9.0,1.0,1735.0710449,1540.1879883,0.3042860031,1.0,3.2392890453,3.1875455379,8.5
1895.2465,55.822799683,0.2897889912,0.2812019885,2.1221001148,0.8841999769,0.92900002,1.0,0.1070000008,9.0,1.0,2513.1516113,2231.0578613,0.3102200031,1.0,3.4002182484,3.3485100269,8.5
1895.3989,56.822299957,0.3016220033,0.271600008,2.1247000694,0.8737999797,0.9200999737,1.0,0.137500003,9.0,1.0,2507.3398438,2224.0917969,0.3089109957,1.0,3.3992490768,3.3471901417,8.5
1895.5513,58.427700043,0.3171719909,0.2534509897,2.1340999603,0.8816000223,0.9143000245,1.0,0.1850000024,9.0,1.0,1083.5556641,907.94366455,0.3036369979,1.0,3.0348513126,2.9580588341,8.5
1895.7037,60.193401337,0.3122920096,0.2433619946,2.1484000683,0.8944000006,0.9093000293,1.0,0.1908999979,9.0,1.0,1081.8193359,907.28533936,0.2951399982,1.0,3.0341715813,2.9577531815,8.5
1895.8561,61.341300964,0.297013998,0.2398959994,2.1624000072,0.8985000253,0.9002000093,1.0,0.172299996,9.0,1.0,791.4720459,774.52026367,0.2866179943,1.0,2.8984291553,2.8890326023,8.5
1896.0085,61.003898621,0.2831709981,0.2420659959,2.1693000793,0.8820000291,0.8809000254,1.0,0.1483999938,9.0,1.0,872.48571777,775.48736572,0.2823120058,1.0,2.9407582283,2.8895745277,8.5
1896.1609,59.83890152,0.277184993,0.2467720062,2.168200016,0.8540999889,0.8561000228,1.0,0.133100003,9.0,1.0,874.88623047,777.03747559,0.2828739882,1.0,2.9418911934,2.8903815746,8.5
1896.3133,58.492198944,0.2873669863,0.2649210095,2.1414999962,0.8270000219,0.8324999809,1.0,0.1247000024,9.0,1.0,1715.7897949,1523.4625244,0.2987399995,1.0,3.2344648838,3.1828327179,8.5
1896.4657,56.121101379,0.2796860039,0.2927139997,2.116300106,0.8050000072,0.8165000081,1.0,0.0764999986,9.0,1.0,1693.5168457,1502.1851807,0.3134579957,1.0,3.2287967205,3.1767332554,8.5
